CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida,HumedadRelativa
27015330,68,01/01/2020 15:00,28.6,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/01/2020 02:00,15.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/01/2020 13:00,25,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/01/2020 16:00,19.6,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/01/2020 05:00,14.9,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/01/2020 11:00,19.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/01/2020 02:00,16.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 23:00,16.7,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 09:00,17.6,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 20:00,20.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 15:00,25.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 04:00,17.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 01:00,16.9,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 19:00,19,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 20:00,18.4,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 17:00,19.6,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 04:00,15.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 07:00,14.8,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 11:00,24.9,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 16:00,22.7,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 21:00,18.4,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 16:00,25.1,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 21:00,21.4,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 08:00,20,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 02:00,18.2,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 02:00,15.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 03:00,17.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 13:00,26.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 00:00,15.5,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 23:00,20.4,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 10:00,21,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 06:00,14.8,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 15:00,24.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 01:00,19.6,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 14:00,24.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 05:00,16.4,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 06:00,17.4,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 10:00,19.7,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 14:00,26.6,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 17:00,25.2,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 05:00,18.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 08:00,17.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 11:00,22.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 22:00,19.4,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 12:00,24.9,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 19:00,22.6,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 12:00,21.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 13:00,22.5,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 00:00,20.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 03:00,14.9,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 18:00,19.9,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 18:00,22.2,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/02/2020 22:00,18.5,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/02/2020 09:00,21.9,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 02:00,20,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 05:00,13.7,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 09:00,18.8,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 02:00,17.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 18:00,22.2,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 12:00,24.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 12:00,25.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 15:00,23.5,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 11:00,24.4,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 00:00,16.5,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 23:00,18.4,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 20:00,21.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 08:00,18.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 11:00,23.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 04:00,15.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 17:00,21.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 10:00,22.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 17:00,25.4,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 18:00,20.4,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 13:00,27.6,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 23:00,15.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 15:00,26,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 13:00,25.5,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 07:00,17.9,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 22:00,18.9,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 06:00,13.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 14:00,28.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 03:00,16.9,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 04:00,18.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 19:00,18,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 19:00,21.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 10:00,22.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 20:00,18.7,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 21:00,19.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 06:00,16.7,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 21:00,18.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 14:00,26.7,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 09:00,22.4,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 03:00,19.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 16:00,26.6,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 08:00,18.1,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 22:00,15.7,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 01:00,18.4,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 07:00,18,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 00:00,20,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/03/2020 05:00,18.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 16:00,23.5,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/03/2020 01:00,15.9,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 13:00,25.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 14:00,28.1,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 00:00,19.4,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 18:00,18.7,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 23:00,16.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 00:00,15.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 05:00,17.6,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 20:00,22,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 19:00,21.6,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 15:00,24.9,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 09:00,18.8,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 17:00,25.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 15:00,27.6,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 22:00,18,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 06:00,16.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 07:00,16.7,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 10:00,21.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 08:00,16.7,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 04:00,14.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 09:00,21.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 14:00,25.5,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 21:00,17.9,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 02:00,16.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 08:00,20.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 07:00,16.9,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 03:00,18.7,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 18:00,23.9,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 21:00,20,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 11:00,23.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 01:00,19.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 12:00,27,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 17:00,20,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 23:00,20.2,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 01:00,14.8,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 03:00,14.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 05:00,12.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 04:00,15.9,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 16:00,23.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 06:00,13.4,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 12:00,24.3,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 19:00,19.5,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 02:00,13.9,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 20:00,17.2,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015290,68,01/04/2020 11:00,21.4,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 13:00,28.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 22:00,19.2,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 10:00,23.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015330,68,01/04/2020 16:00,26.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C,0.4
27015290,68,01/05/2020 13:00,22.5,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C,0.4
